Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Runaway Bride,152257509,308007919,NA,70000000.0,30-Jul-99,PG,116.0,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,45.0,5.2,28497.0
Racing Stripes,49772522,93772522,NA,30000000.0,14-Jan-05,PG,110.0,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,NA,35.0,5.2,5086.0
Rocky Balboa,70269899,155720088,34669384.0,24000000.0,20-Dec-06,PG,102.0,MGM,NA,Drama,Contemporary Fiction,Sylvester Stallone,76.0,7.4,63717.0
The Road to El Dorado,50802661,65700000,NA,95000000.0,31-Mar-00,PG,90.0,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,David Silverman,49.0,6.4,8876.0
Riding Giants,2276368,3216111,NA,2600000.0,09-Jul-04,PG-13,NA,Sony Pictures,Based on Real Life Events,Documentary,Factual,NA,93.0,7.7,2193.0
Red Dragon,92955420,206455420,NA,78000000.0,04-Oct-02,R,125.0,Universal,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Brett Ratner,68.0,7.3,66386.0
The Reader,34192652,106107610,12359754.0,33000000.0,10-Dec-08,R,123.0,Weinstein Co.,Based on Book/Short Story,Drama,Contemporary Fiction,Stephen Daldry,61.0,7.7,46984.0
The Reaping,25126214,62226214,19812272.0,40000000.0,05-Apr-07,R,100.0,Warner Bros.,Original Screenplay,Horror,Fantasy,Stephen Hopkins,8.0,5.6,19881.0
Rebound,16809014,17492014,NA,45000000.0,01-Jul-05,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,14.0,4.7,4485.0
Recess: School's Out,36696761,44451470,NA,10000000.0,16-Feb-01,G,83.0,Walt Disney Pictures,Based on TV,Comedy,Kids Fiction,NA,62.0,6.2,2176.0
Redacted,65388,65388,NA,5000000.0,16-Nov-07,R,90.0,Magnolia Pictures,Based on Real Life Events,Drama,Dramatization,Brian De Palma,44.0,6.1,5759.0
Red-Eye,57891803,95891803,NA,26000000.0,19-Aug-05,PG-13,85.0,Dreamworks SKG,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wes Craven,NA,6.5,42489.0
Reign Over Me,19661987,20081987,16021076.0,20000000.0,23-Mar-07,R,128.0,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Mike Binder,63.0,7.7,39234.0
The Relic,33956608,33956608,NA,60000000.0,10-Jan-97,R,110.0,Paramount Pictures,Based on Book/Short Story,Horror,Science Fiction,Peter Hyams,32.0,5.4,10249.0
Religulous,13011160,13136074,7486708.0,2500000.0,01-Oct-08,R,101.0,Lionsgate,Based on Real Life Events,Documentary,Factual,Larry Charles,69.0,7.8,23094.0
Remember Me,19068240,55343435,9952465.0,16000000.0,12-Mar-10,PG-13,NA,Summit Entertainment,NA,Drama,Contemporary Fiction,NA,28.0,7.0,16319.0
"Remember Me, My Love",223878,223878,NA,6700000.0,03-Sep-04,Not Rated,NA,IDP Distribution,Original Screenplay,Comedy,NA,Gabriele Muccino,NA,7.0,16319.0
Rent,29077547,31670620,31412380.0,40000000.0,23-Nov-05,PG-13,NA,Sony Pictures,Based on Musical/Opera,Musical,Historical Fiction,Chris Columbus,47.0,6.9,22605.0
The Replacements,44737059,50054511,NA,50000000.0,11-Aug-00,PG-13,118.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,39.0,6.2,21542.0
The Replacement Killers,19035741,19035741,NA,30000000.0,06-Feb-98,R,86.0,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,39.0,5.9,13905.0
Resident Evil: Apocalypse,50740078,128940078,NA,50000000.0,10-Sep-04,R,94.0,Sony Pictures,Based on Game,Horror,Science Fiction,NA,NA,5.8,52753.0
Resident Evil: Extinction,50648679,146162920,34217549.0,45000000.0,21-Sep-07,R,95.0,Sony/Screen Gems,Based on Game,Action,Science Fiction,Russell Mulcahy,22.0,6.2,49502.0
Resident Evil: Afterlife 3D,46368993,149568993,NA,57500000.0,10-Sep-10,R,NA,Sony/Screen Gems,Based on Game,Horror,Science Fiction,Paul Anderson,NA,NA,NA
Resident Evil,40119709,103787401,NA,35000000.0,15-Mar-02,R,100.0,Sony Pictures,Based on Game,Horror,Science Fiction,Paul Anderson,34.0,6.4,68342.0
Return to Me,32662299,32662299,NA,24000000.0,07-Apr-00,PG,116.0,MGM,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,61.0,6.6,9565.0
Revolutionary Road,22911480,76989671,7642600.0,35000000.0,26-Dec-08,R,NA,Paramount Vantage,Based on Book/Short Story,Drama,Historical Fiction,Sam Mendes,68.0,7.6,45887.0
Be Kind Rewind,11175164,28505302,5162454.0,20000000.0,22-Feb-08,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,Michel Gondry,65.0,6.6,42470.0
Reign of Fire,43061982,82150183,NA,60000000.0,19-Feb-02,PG-13,102.0,Walt Disney Pictures,Original Screenplay,Action,Fantasy,NA,40.0,5.9,38414.0
Reindeer Games,23360779,23360779,NA,36000000.0,25-Feb-00,R,104.0,Miramax,Original Screenplay,Action,Contemporary Fiction,John Frankenheimer,NA,5.5,16822.0
Rachel Getting Married,12796277,13326280,6635346.0,12000000.0,03-Oct-08,R,111.0,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,86.0,6.9,20451.0
The Rugrats Movie,100494685,140894685,NA,28000000.0,20-Nov-98,G,79.0,Paramount Pictures,Based on TV,Adventure,Kids Fiction,NA,57.0,5.4,4857.0
Riding in Cars with Boys,29781453,29781453,NA,47000000.0,19-Oct-01,PG-13,131.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Penny Marshall,48.0,6.2,11895.0
Ride With the Devil,630779,630779,NA,35000000.0,24-Nov-99,R,NA,USA Films,Based on Book/Short Story,Western,Historical Fiction,Ang Lee,63.0,6.4,1873.0
The Ring Two,75941727,161941727,NA,50000000.0,18-Mar-05,PG-13,111.0,Dreamworks SKG,Remake,Horror,Contemporary Fiction,NA,20.0,5.1,28408.0
Rize,3278611,4462763,NA,700000.0,24-Jun-05,PG-13,NA,Lionsgate,Based on Real Life Events,Documentary,Factual,NA,NA,6.8,2052.0
The Adventures of Rocky & Bullwinkle,26000610,35129610,NA,76000000.0,30-Jun-00,PG,91.0,Universal,Based on TV,Comedy,Kids Fiction,NA,42.0,4.1,10320.0
All the Real Girls,549666,703020,NA,1000000.0,14-Feb-03,R,NA,Sony Pictures Classics,Original Screenplay,Drama,NA,David Gordon Green,71.0,7.1,5632.0
Real Women Have Curves,5853194,5853194,NA,3000000.0,18-Oct-02,PG-13,NA,Newmarket Films,Based on Play,Comedy,Contemporary Fiction,NA,83.0,7.0,4396.0
Son of Rambow: A Home Movie,1785505,10573083,NA,2000000.0,02-May-08,PG-13,NA,Paramount Vantage,Original Screenplay,Comedy,Historical Fiction,NA,NA,NA,NA
Romance and Cigarettes,551002,3231251,NA,11000000.0,07-Sep-07,R,NA,Borotoro,Original Screenplay,Comedy,Contemporary Fiction,John Turturro,NA,6.2,5362.0
Reno 911!: Miami,20342161,20342161,16323972.0,10000000.0,23-Feb-07,R,81.0,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,NA,35.0,5.8,15684.0
Rounders,22921898,22921898,NA,12000000.0,11-Sep-98,R,120.0,Miramax,Original Screenplay,Drama,Contemporary Fiction,John Dahl,64.0,7.3,45439.0
Rendition,9736045,20437142,6007008.0,27500000.0,19-Oct-07,R,121.0,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Gavin Hood,46.0,6.9,23223.0
The Rocker,6409528,8767338,7970409.0,15000000.0,20-Aug-08,PG-13,102.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,40.0,6.3,11859.0
Rock Star,16991902,19317765,NA,38000000.0,07-Sep-01,R,NA,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Stephen Herek,52.0,5.8,15806.0
The Rookie,75600072,80693537,NA,22000000.0,29-Mar-02,G,128.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,82.0,5.5,8453.0
Roll Bounce,17380866,17500866,NA,10000000.0,23-Sep-05,PG-13,NA,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,64.0,5.0,3167.0
Romeo Must Die,55973336,91036760,NA,25000000.0,22-Mar-00,R,114.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Andrzej Bartkowiak,33.0,5.9,25309.0
Ronin,41610884,41610884,NA,55000000.0,25-Sep-98,R,121.0,MGM,Original Screenplay,Action,Contemporary Fiction,John Frankenheimer,68.0,7.2,57484.0
The Ballad of Jack and Rose,712294,712294,NA,1500000.0,25-Mar-05,R,NA,IFC Films,Original Screenplay,Drama,NA,NA,NA,6.8,5223.0
Red Planet,17480890,33463969,NA,80000000.0,10-Nov-00,PG-13,NA,Warner Bros.,Original Screenplay,Action,Science Fiction,NA,12.0,5.3,20989.0
Requiem for a Dream,3635482,7390108,NA,4500000.0,06-Oct-00,Open,NA,Artisan,Based on Book/Short Story,Drama,Contemporary Fiction,Darren Aronofsky,78.0,8.5,185226.0
Rat Race,56607223,86607223,NA,48000000.0,17-Aug-01,PG-13,112.0,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jerry Zucker,43.0,6.4,40087.0
Rescue Dawn,5490423,7037886,24745520.0,10000000.0,04-Jul-07,PG-13,125.0,MGM,Based on Real Life Events,Action,Historical Fiction,Werner Herzog,NA,7.5,37764.0
The Real Cancun,3816594,3816594,NA,4000000.0,25-Apr-03,R,NA,New Line,Based on TV,Documentary,Factual,NA,35.0,2.3,3211.0
Restless,0,0,NA,15000000.0,28-Jan-11,NA,NA,Sony Pictures,NA,NA,NA,NA,NA,6.7,300.0
Remember the Titans,115654751,136706683,NA,30000000.0,29-Sep-00,PG,113.0,Walt Disney Pictures,Based on Real Life Events,Drama,Contemporary Fiction,Boaz Yakin,72.0,7.5,49844.0
Righteous Kill,40081410,76781410,16209689.0,60000000.0,12-Sep-08,R,100.0,Overture Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,20.0,6.0,34641.0
Road Trip,68525609,119739110,NA,16000000.0,19-May-00,R,94.0,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,59.0,6.4,44702.0
The Ruins,17432844,22177122,10610865.0,25000000.0,04-Apr-08,R,NA,Paramount Pictures,Based on Book/Short Story,Horror,Contemporary Fiction,NA,47.0,6.0,23752.0
Rules of Engagement,61322858,71719931,NA,60000000.0,07-Apr-00,R,127.0,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,William Friedkin,37.0,6.2,18462.0
The Rundown,47641743,80831893,NA,85000000.0,26-Sep-03,PG-13,104.0,Universal,Original Screenplay,Action,Contemporary Fiction,Peter Berg,NA,6.6,30855.0
Running Scared,6855137,8345277,NA,17000000.0,24-Feb-06,R,NA,New Line,Original Screenplay,Action,Contemporary Fiction,NA,40.0,7.5,39447.0
Running With Scissors,6775659,7213629,1877732.0,12000000.0,20-Oct-06,R,116.0,Sony Pictures,Based on Book/Short Story,Comedy,Dramatization,NA,30.0,6.0,12926.0
Rush Hour 2,226164286,347425832,NA,90000000.0,03-Aug-01,PG-13,90.0,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,51.0,6.4,52049.0
Rush Hour 3,140125968,253025968,40854922.0,180000000.0,10-Aug-07,PG-13,91.0,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,19.0,6.0,39312.0
Rush Hour,141186864,245300000,NA,35000000.0,18-Sep-98,PG-13,98.0,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,60.0,6.8,55248.0
Rushmore,17105219,19080435,NA,10000000.0,11-Dec-98,R,89.0,Walt Disney Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Wes Anderson,87.0,7.8,53192.0
R.V.,71724497,87524497,32041099.0,55000000.0,28-Apr-06,PG,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Barry Sonnenfeld,NA,NA,NA
Ravenous,2062406,2062406,NA,12000000.0,19-Mar-99,R,NA,20th Century Fox,Original Screenplay,Horror,Historical Fiction,NA,39.0,6.9,15804.0
Raise Your Voice,10411980,14811980,NA,15000000.0,08-Oct-04,PG,NA,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,16.0,5.2,8634.0
Hotel Rwanda,23519128,33919128,NA,17500000.0,22-Dec-04,PG-13,NA,MGM,Original Screenplay,Drama,Dramatization,NA,90.0,8.3,92106.0
Sahara,68671925,121671925,NA,145000000.0,08-Apr-05,PG-13,123.0,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,NA,39.0,5.9,30739.0
The Saint,61363304,169400000,NA,90000000.0,04-Apr-97,PG-13,116.0,Paramount Pictures,Based on TV,Action,Contemporary Fiction,Phillip Noyce,30.0,5.9,27413.0
The Salon,139084,139084,NA,1500000.0,11-May-07,PG-13,NA,Freestyle Releasing,Based on Play,Comedy,Contemporary Fiction,NA,12.0,3.5,308.0
I Am Sam,40270895,40270895,NA,22000000.0,28-Dec-01,PG-13,132.0,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,34.0,7.4,36448.0
The Salton Sea,676698,676698,NA,18000000.0,26-Apr-02,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,63.0,7.1,16415.0
Sex and the City 2,95347692,288347692,NA,95000000.0,27-May-10,R,NA,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,NA,15.0,3.9,13796.0
Saved!,8886160,10102511,NA,5000000.0,28-May-04,PG-13,NA,MGM,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,7.0,22784.0
Saving Silverman,19351569,19351569,NA,22000000.0,09-Feb-01,R,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,NA,5.6,18748.0
Saw,55185045,103096345,NA,1200000.0,29-Oct-04,R,100.0,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,NA,48.0,7.7,112785.0
Saw II,87025093,152925093,44699720.0,5000000.0,28-Oct-05,R,91.0,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,36.0,6.8,76530.0
Saw III,80238724,163876815,47153811.0,10000000.0,27-Oct-06,R,107.0,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,25.0,6.3,60784.0
Saw IV,63300095,134528909,31998452.0,10000000.0,26-Oct-07,R,NA,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,17.0,6.0,44730.0
Saw V,56746769,113146769,26535833.0,10800000.0,24-Oct-08,R,NA,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,NA,13.0,5.7,31219.0
Saw VI,27693292,61259697,8308717.0,11000000.0,23-Oct-09,R,91.0,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Kevin Greutert,42.0,6.2,18091.0
Say It Isn't So,5516708,5516708,NA,25000000.0,23-Mar-01,R,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,9.0,4.6,7736.0
Say Uncle,5361,5361,NA,2000000.0,23-Jun-06,R,NA,TLA Releasing,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,5.7,431.0
The Adventures of Sharkboy and Lavagirl in 3-D,39177684,69425966,NA,50000000.0,10-Jun-05,PG,NA,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,20.0,3.6,5619.0
Seabiscuit,120277854,148336445,NA,86000000.0,25-Jul-03,PG-13,141.0,Universal,Based on Book/Short Story,Drama,Historical Fiction,Gary Ross,77.0,7.4,31033.0
A Scanner Darkly,5501616,7405084,NA,20000000.0,07-Jul-06,R,NA,Warner Independent,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Richard Linklater,68.0,7.2,41928.0
Scary Movie 2,71277420,141189101,NA,45000000.0,04-Jul-01,R,82.0,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,14.0,4.7,43941.0
Scary Movie 3,110000082,155200000,NA,45000000.0,24-Oct-03,PG-13,84.0,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37.0,5.4,42829.0
Scary Movie 4,90710620,178710620,22401247.0,40000000.0,14-Apr-06,PG-13,NA,Weinstein/Dimension,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37.0,5.0,39542.0
Scooby-Doo 2: Monsters Unleashed,84185387,181185387,NA,25000000.0,26-Mar-04,PG,93.0,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,NA,4.8,10749.0
Scooby-Doo,153294164,276294164,NA,84000000.0,14-Jun-02,PG,86.0,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,28.0,4.7,26018.0
About Schmidt,65005217,105823486,NA,30000000.0,13-Dec-02,R,125.0,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Alexander Payne,85.0,7.3,53760.0
The School of Rock,81261177,131161177,NA,20000000.0,03-Oct-03,PG-13,108.0,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Richard Linklater,NA,7.2,63188.0
School for Scoundrels,17807569,17807569,13739501.0,20000000.0,29-Sep-06,PG-13,101.0,MGM,Remake,Comedy,Contemporary Fiction,Todd Phillips,26.0,6.0,15536.0
Scoop,10525717,39125717,NA,4000000.0,28-Jul-06,PG-13,NA,Focus/Rogue Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Woody Allen,39.0,6.8,30336.0
The Score,71069884,113542091,NA,68000000.0,13-Jul-01,R,124.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Frank Oz,74.0,6.8,42616.0
Scream,103046663,173046663,NA,15000000.0,20-Dec-96,R,110.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,81.0,2.9,217.0
Scream 2,101363301,101363301,NA,24000000.0,12-Dec-97,R,120.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,80.0,5.9,48196.0
Scream 3,89138076,161838076,NA,40000000.0,04-Feb-00,R,118.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,38.0,5.3,38230.0
The Scorpion King,90580000,164529000,NA,60000000.0,19-Apr-02,PG-13,91.0,Universal,Spin-Off,Action,Fantasy,Chuck Russell,40.0,5.3,30359.0
George A. Romero's Survival of the Dead,101740,101740,943385.0,4200000.0,28-May-10,R,NA,Magnolia Pictures,NA,Horror,NA,NA,NA,NA,NA
Stardust,38634938,135556675,25129402.0,70000000.0,10-Aug-07,PG-13,128.0,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Matthew Vaughn,76.0,7.9,87883.0
Mar adentro,2086345,39686345,NA,13300000.0,17-Dec-04,PG-13,NA,Fine Line,Based on Real Life Events,Drama,Dramatization,NA,NA,7.2,466.0
Selena,35450113,35450113,NA,20000000.0,21-Mar-97,PG,127.0,Warner Bros.,Based on Real Life Events,Drama,Dramatization,NA,63.0,6.3,7996.0
The Sentinel,36280697,77280697,17497571.0,60000000.0,21-Apr-06,PG-13,NA,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,33.0,6.1,23567.0
September Dawn,901857,901857,NA,10100000.0,24-Aug-07,R,110.0,Black Diamond Pictures,Original Screenplay,Western,Historical Fiction,NA,13.0,5.5,1823.0
You Got Served,40066497,48066497,NA,8000000.0,30-Jan-04,PG-13,95.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,16.0,2.6,17830.0
Serving Sara,16930185,20146150,NA,29000000.0,23-Aug-02,PG-13,NA,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,5.0,5.0,7973.0
Session 9,378176,1619602,NA,1500000.0,10-Aug-01,R,NA,NA,NA,NA,NA,Brad Anderson,60.0,6.8,14685.0
Seven Years in Tibet,37945884,131445884,NA,70000000.0,10-Oct-97,PG-13,139.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Jean-Jacques Annaud,59.0,6.7,29020.0
Sex and the City,152647258,416047258,85061666.0,57500000.0,30-May-08,R,NA,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,NA,49.0,5.4,46837.0
Swordfish,69772969,147080413,NA,80000000.0,08-Jun-01,R,99.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Dominic Sena,25.0,6.3,57952.0
Something's Gotta Give,124685242,266685242,NA,80000000.0,12-Dec-03,PG-13,128.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,70.0,6.8,36303.0
Sugar Town,178095,178095,NA,250000.0,17-Sep-99,R,NA,October Films,NA,Comedy,NA,NA,67.0,5.6,566.0
Shade,22183,22183,NA,6800000.0,09-Apr-04,R,NA,NA,NA,NA,NA,NA,NA,6.3,950.0
Shadow of the Vampire,8279017,8279017,NA,8000000.0,29-Dec-00,R,NA,Lionsgate,Original Screenplay,Drama,Historical Fiction,E. Elias Merhige,81.0,6.8,18221.0
Shaft,70327868,107190108,NA,53012938.0,16-Jun-00,R,99.0,Paramount Pictures,Remake,Action,Contemporary Fiction,John Singleton,68.0,5.9,32881.0
The Shaggy Dog,61123569,87123569,28587103.0,60000000.0,10-Mar-06,PG,NA,Walt Disney Pictures,Remake,Comedy,Fantasy,Brian Robbins,27.0,4.1,6116.0
Scary Movie,157019771,277200000,NA,19000000.0,07-Jul-00,R,88.0,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,53.0,6.0,68541.0
Shaun of the Dead,13542874,29629128,NA,5000000.0,24-Sep-04,R,NA,Focus/Rogue Pictures,Original Screenplay,Comedy,Fantasy,Edgar Wright,91.0,8.0,134693.0
Shortbus,1985292,1985292,NA,2000000.0,04-Oct-06,Not Rated,NA,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,NA,66.0,6.7,14276.0
She's All That,63465522,63465522,NA,10000000.0,29-Jan-99,PG-13,91.0,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,38.0,5.4,28498.0
She's the Man,33889159,56889159,33340509.0,25000000.0,17-Mar-06,PG-13,NA,Paramount Pictures,Based on Play,Romantic Comedy,Contemporary Fiction,Andy Fickman,44.0,6.4,26513.0
Sherrybaby,199176,622806,NA,2000000.0,08-Sep-06,R,NA,IFC Films,Original Screenplay,Drama,Contemporary Fiction,NA,74.0,6.7,6372.0
Shallow Hal,70836296,70836296,NA,40000000.0,09-Nov-01,PG-13,113.0,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,50.0,6.0,35878.0
Silent Hill,46982632,99982632,22104517.0,50000000.0,21-Apr-06,R,NA,Sony Pictures,Based on Game,Horror,Contemporary Fiction,Christophe Gans,29.0,6.5,65485.0
Shutter Island,128012934,294512934,22083616.0,80000000.0,19-Feb-10,R,NA,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Martin Scorsese,67.0,8.0,105706.0
Shakespeare in Love,100317794,279500000,NA,26000000.0,11-Dec-98,R,122.0,Miramax,Original Screenplay,Romantic Comedy,Historical Fiction,John Madden,93.0,7.4,77911.0
In the Shadow of the Moon,1134358,1134358,NA,2000000.0,07-Sep-07,PG,100.0,ThinkFilm,Based on Real Life Events,Documentary,Factual,NA,94.0,8.0,2974.0
Sherlock Holmes,209028679,518249844,42276167.0,80000000.0,25-Dec-09,PG-13,NA,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,Guy Ritchie,69.0,7.5,91555.0
She's Out of My League,31628317,49219151,7889235.0,20000000.0,12-Mar-10,NA,NA,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,57.0,6.7,17449.0
Shooter,47003582,95203582,57333255.0,60000000.0,23-Mar-07,R,125.0,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Antoine Fuqua,48.0,7.2,149.0
Shrek,267655011,484399218,NA,50000000.0,18-May-01,PG,90.0,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89.0,8.0,163855.0
Shrek 2,441226247,919838758,NA,70000000.0,19-May-04,PG,92.0,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89.0,7.5,95658.0
Shrek the Third,322719944,798958162,176400340.0,160000000.0,18-May-07,PG,92.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,NA,41.0,6.1,59778.0
Shrek Forever After,238395990,729395990,NA,165000000.0,21-May-10,PG,93.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,NA,NA,6.7,12193.0
Shark Tale,160861908,367275019,NA,75000000.0,01-Oct-04,PG,90.0,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Rob Letterman,35.0,5.9,40019.0
Shattered Glass,2207975,2932719,NA,6000000.0,31-Oct-03,PG-13,NA,Lionsgate,Based on Real Life Events,Drama,Dramatization,NA,91.0,7.4,14575.0
Stealing Harvard,13973532,13973532,NA,25000000.0,13-Sep-02,PG-13,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,8.0,4.7,6899.0
Showtime,37948765,78948765,NA,85000000.0,15-Mar-02,PG-13,95.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Dey,24.0,5.3,22128.0
Sicko,24538513,33538513,17438209.0,9000000.0,22-Jun-07,PG-13,NA,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,93.0,8.2,40886.0
The Siege,40934175,116625798,NA,70000000.0,06-Nov-98,R,116.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Edward Zwick,44.0,NA,NA
Signs,227965690,408265690,NA,70702619.0,02-Aug-02,PG-13,106.0,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74.0,6.9,111561.0
Simon Birch,18253415,18253415,NA,20000000.0,11-Sep-98,PG,110.0,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Mark Steven Johnson,44.0,6.7,11371.0
A Simple Wish,8165213,8165213,NA,28000000.0,11-Jul-97,PG,NA,Universal,Original Screenplay,Comedy,Fantasy,Michael Ritchie,27.0,4.9,1545.0
The Simpsons Movie,183135014,527071022,96359085.0,72500000.0,27-Jul-07,PG-13,86.0,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89.0,7.6,117656.0
Sinbad: Legend of the Seven Seas,26483452,80767884,NA,60000000.0,02-Jul-03,PG,86.0,Dreamworks SKG,Traditional/Legend/Fairytale,Adventure,Kids Fiction,Tim Johnson,NA,6.6,7895.0
Sin City,74103820,158753820,NA,40000000.0,01-Apr-05,R,126.0,Miramax/Dimension,Based on Comic/Graphic Novel,Action,Fantasy,Robert Rodriguez,77.0,8.3,255814.0
The Singing Detective,336456,524747,NA,8000000.0,24-Oct-03,R,NA,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,NA,38.0,5.6,4441.0
The Sixth Sense,293506292,672806292,NA,40000000.0,06-Aug-99,PG-13,107.0,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,85.0,8.2,238745.0
Super Size Me,11529368,29529368,NA,65000.0,07-May-04,PG-13,NA,IDP Distribution,Based on Real Life Events,Documentary,Factual,Morgan Spurlock,NA,7.6,33805.0
